CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,SHIP.DXR,1,bitmap,,,
1,Internal,SHIP.DXR,2,bitmap,,,
1,Internal,SHIP.DXR,3,bitmap,,,
1,Internal,SHIP.DXR,4,bitmap,,,
1,Internal,SHIP.DXR,5,bitmap,,,
1,Internal,SHIP.DXR,6,bitmap,,,
1,Internal,SHIP.DXR,7,bitmap,,,
1,Internal,SHIP.DXR,8,bitmap,,,
1,Internal,SHIP.DXR,9,bitmap,,,
1,Internal,SHIP.DXR,10,bitmap,,,
1,Internal,SHIP.DXR,11,bitmap,,,
1,Internal,SHIP.DXR,12,bitmap,,,
1,Internal,SHIP.DXR,13,bitmap,,,
1,Internal,SHIP.DXR,14,bitmap,,,
1,Internal,SHIP.DXR,15,bitmap,,,
1,Internal,SHIP.DXR,16,bitmap,,,
1,Internal,SHIP.DXR,17,bitmap,,,
1,Internal,SHIP.DXR,18,bitmap,,,
1,Internal,SHIP.DXR,19,bitmap,,,
1,Internal,SHIP.DXR,20,filmLoop,talk f,,
1,Internal,SHIP.DXR,21,bitmap,,,
1,Internal,SHIP.DXR,22,bitmap,,,
1,Internal,SHIP.DXR,23,bitmap,,,
1,Internal,SHIP.DXR,24,bitmap,,,
1,Internal,SHIP.DXR,25,bitmap,,,
1,Internal,SHIP.DXR,26,bitmap,,,
1,Internal,SHIP.DXR,27,script,,,
1,Internal,SHIP.DXR,28,transition,,,
1,Internal,SHIP.DXR,29,transition,,,
1,Internal,SHIP.DXR,30,script,,,
1,Internal,SHIP.DXR,31,transition,,,
1,Internal,SHIP.DXR,32,script,,,
1,Internal,SHIP.DXR,33,script,,,
1,Internal,SHIP.DXR,34,script,,,
1,Internal,SHIP.DXR,35,bitmap,,,
1,Internal,SHIP.DXR,36,bitmap,,,
1,Internal,SHIP.DXR,37,bitmap,,,
1,Internal,SHIP.DXR,38,bitmap,,,
1,Internal,SHIP.DXR,39,bitmap,MCho,,
1,Internal,SHIP.DXR,40,bitmap,MBana,,
1,Internal,SHIP.DXR,41,script,,,
1,Internal,SHIP.DXR,42,script,,,
1,Internal,SHIP.DXR,43,script,,,
1,Internal,SHIP.DXR,44,bitmap,,,
1,Internal,SHIP.DXR,45,bitmap,,,
1,Internal,SHIP.DXR,46,script,,,
1,Internal,SHIP.DXR,47,script,,,
1,Internal,SHIP.DXR,48,script,,,
1,Internal,SHIP.DXR,49,sound,Óg,,
1,Internal,SHIP.DXR,50,sound,ÓgÈ~ËÕ,,
1,Internal,SHIP.DXR,51,sound,…L………‚…N…^ÎIÎù,,
1,Internal,SHIP.DXR,52,script,,,
2,Akiko.Cst,Akiko.cxt,1,filmLoop,AkikoWalk.dir,,
