CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,PRAYER.DXR,1,bitmap,,,
1,Internal,PRAYER.DXR,2,bitmap,,,
1,Internal,PRAYER.DXR,3,filmLoop,talk,,
1,Internal,PRAYER.DXR,4,bitmap,,,
1,Internal,PRAYER.DXR,5,bitmap,,,
1,Internal,PRAYER.DXR,6,bitmap,,,
1,Internal,PRAYER.DXR,7,bitmap,,,
1,Internal,PRAYER.DXR,8,bitmap,,,
1,Internal,PRAYER.DXR,9,bitmap,,,
1,Internal,PRAYER.DXR,10,bitmap,,,
1,Internal,PRAYER.DXR,11,bitmap,,,
1,Internal,PRAYER.DXR,12,bitmap,,,
1,Internal,PRAYER.DXR,13,bitmap,,,
1,Internal,PRAYER.DXR,14,bitmap,,,
1,Internal,PRAYER.DXR,15,bitmap,,,
1,Internal,PRAYER.DXR,16,bitmap,,,
1,Internal,PRAYER.DXR,17,bitmap,,,
1,Internal,PRAYER.DXR,18,bitmap,,,
1,Internal,PRAYER.DXR,19,bitmap,,,
1,Internal,PRAYER.DXR,20,bitmap,,,
1,Internal,PRAYER.DXR,21,bitmap,,,
1,Internal,PRAYER.DXR,22,bitmap,,,
1,Internal,PRAYER.DXR,23,bitmap,,,
1,Internal,PRAYER.DXR,24,bitmap,,,
1,Internal,PRAYER.DXR,25,bitmap,,,
1,Internal,PRAYER.DXR,26,bitmap,,,
1,Internal,PRAYER.DXR,27,bitmap,,,
1,Internal,PRAYER.DXR,28,script,,,
1,Internal,PRAYER.DXR,29,transition,,,
1,Internal,PRAYER.DXR,30,script,,,
1,Internal,PRAYER.DXR,31,script,,,
1,Internal,PRAYER.DXR,32,script,,,
1,Internal,PRAYER.DXR,33,bitmap,,,
1,Internal,PRAYER.DXR,34,script,,,
1,Internal,PRAYER.DXR,35,script,,,
1,Internal,PRAYER.DXR,36,bitmap,,,
1,Internal,PRAYER.DXR,37,bitmap,,,
1,Internal,PRAYER.DXR,38,transition,,,
1,Internal,PRAYER.DXR,39,bitmap,,,
1,Internal,PRAYER.DXR,40,bitmap,,,
1,Internal,PRAYER.DXR,41,script,,,
1,Internal,PRAYER.DXR,42,script,,,
1,Internal,PRAYER.DXR,43,script,,,
1,Internal,PRAYER.DXR,44,script,,,
1,Internal,PRAYER.DXR,45,script,,,
1,Internal,PRAYER.DXR,46,script,,,
1,Internal,PRAYER.DXR,47,transition,,,
1,Internal,PRAYER.DXR,48,script,,,
1,Internal,PRAYER.DXR,49,script,,,
1,Internal,PRAYER.DXR,50,script,,,
1,Internal,PRAYER.DXR,51,script,,,
1,Internal,PRAYER.DXR,52,script,,,
1,Internal,PRAYER.DXR,53,transition,,,
1,Internal,PRAYER.DXR,54,script,,,
1,Internal,PRAYER.DXR,55,script,,,
1,Internal,PRAYER.DXR,56,script,,,
1,Internal,PRAYER.DXR,57,sound,Sound 57,,
2,Pon.Cst,Pon.cxt,1,script,,,
2,Pon.Cst,Pon.cxt,2,bitmap,,,
2,Pon.Cst,Pon.cxt,3,bitmap,,,
2,Pon.Cst,Pon.cxt,4,bitmap,,,
2,Pon.Cst,Pon.cxt,5,bitmap,,,
2,Pon.Cst,Pon.cxt,6,bitmap,,,
2,Pon.Cst,Pon.cxt,7,bitmap,,,
2,Pon.Cst,Pon.cxt,8,bitmap,,,
2,Pon.Cst,Pon.cxt,9,bitmap,,,
2,Pon.Cst,Pon.cxt,10,bitmap,,,
2,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
2,Pon.Cst,Pon.cxt,12,bitmap,,,
2,Pon.Cst,Pon.cxt,13,bitmap,,,
2,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
2,Pon.Cst,Pon.cxt,15,bitmap,,,
2,Pon.Cst,Pon.cxt,16,bitmap,,,
2,Pon.Cst,Pon.cxt,17,bitmap,,,
2,Pon.Cst,Pon.cxt,18,bitmap,,,
2,Pon.Cst,Pon.cxt,19,bitmap,,,
2,Pon.Cst,Pon.cxt,20,bitmap,,,
2,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
2,Pon.Cst,Pon.cxt,22,bitmap,,,
2,Pon.Cst,Pon.cxt,23,bitmap,,,
2,Pon.Cst,Pon.cxt,24,bitmap,,,
2,Pon.Cst,Pon.cxt,25,bitmap,,,
